question,correct_answer,student_answer,gap_type,gap_score,socratic_question
It is known from the passage that    _  .,Cheryl Olson is not surprised about kids' increasing use of mobile devices,Cheryl Olson is not surprised about kids' increasing use of mobile devices,correct,0.9999998807907104,Why do you think that is the case?
"According to Janice Min,   _  .",Taylor Swift is worthwhile to be given the award a second time,Taylor Swift is worthwhile to be given the award a second time,correct,0.9999998807907104,Why do you think that is the case?
"62. To improve their reading ability, people should    _   .",have special help and practice,This is incorrect because have,misconception,0.06017909571528435,Why do you think that is the case?
What upset Melanie during the National Championships?,She made a mistake during part of the race.,She made a mistake during part of,incomplete,0.764371931552887,Why do you think that is the case?
"According to the author, research into the influence of geography and climate should  _  .",go much deeper,go much deeper,correct,1.0000001192092896,Why do you think that is the case?
What is the secret of happiness in the author's opinion?,Enthusiasm and good health.,Enthusiasm and good health.,correct,1.0,Why do you think that is the case?
What must happen for two ions to form an ionic bond?,two ions need to have opposite charges,This is incorrect because two,misconception,0.26428571343421936,Can you explain your reasoning?
"According to the author, well-designed clothes   _  .",help people feel sure of themselves,This is incorrect because help,misconception,0.11848603188991547,Why do you think that is the case?
What is the author's original opinion about the wooden stand?,It needs to be replaced by a better one.,It needs to be replaced by a better one.,correct,1.0000001192092896,Why do you think that is the case?
What is basically needed for MEXICA to start to write a story?,The human operator should come up with a simple storyline.,The human operator should come up with a,incomplete,0.7048646211624146,Why do you think that is the case?
"What property is characterized by eddies and swirls that mix layers of fluid together, unlike laminar flow?",turbulence,turbulence,correct,1.0,Can you explain your reasoning?
Which muscles allow your fingers to also make precise movements for actions?,intrinsic muscles,intrinsic muscles,correct,1.0,Can you explain your reasoning?
Simon's mother wanted him to join the army because   _  .,she felt it would change his behavior.,she felt it would change his behavior.,correct,0.9999999403953552,Why do you think that is the case?
"According to the passage, J. R. R. Tolkien is   _  .",the author of The Lord of the Rings,the author of The Lord of,incomplete,0.7660733461380005,Why do you think that is the case?
Which of the following best gives the main idea of this newspaper article?,Computer defeats man in chess!,Computer defeats man in chess!,correct,0.9999998211860657,Why do you think that is the case?
"By telling Mr. Doug Copp's rescue experiences, the writer tried to_.",make people accept some advice,This is incorrect because make,misconception,0.05431219935417175,Why do you think that is the case?
"According to Charles,   _  .",deep conversations can make people happy,deep conversations can make,correct,0.8782996535301208,Why do you think that is the case?
The purpose of the author is_.,to give us some useful suggestions,to give us some,incomplete,0.5242825746536255,Why do you think that is the case?
The writer thinks that her grandmother   _  .,led an unhappy life when she was a child,led an unhappy life when she was,correct,0.9183388948440552,Why do you think that is the case?
"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?",single-replacement reaction,single-replacement reaction,correct,0.9999999403953552,Can you explain your reasoning?
What is the best title for the passage?,Mary Had a Little Lamb,This is incorrect because Mary,incomplete,0.5455589890480042,Why do you think that is the case?
Populations of viruses do not grow through cell division because they?,are not cells,are not cells,correct,1.0000001192092896,Can you explain your reasoning?
The passage is mainly about  _  .,the cause why the Red Sea is parting again,This is incorrect because the,misconception,0.10035566985607147,Why do you think that is the case?
Where do polychaete worms live?,the ocean floor,the ocean floor,correct,1.0,Can you explain your reasoning?
The plants alternation between haploid and diploud generations allow it to do what?,reproduce asexually and sexually,reproduce asexually and sexually,correct,1.0,Can you explain your reasoning?
What kind of lines does a diffraction grating produce?,evenly spaced lines,evenly spaced lines,correct,1.0,Can you explain your reasoning?
Angiosperms are also known as what?,flowering plants,flowering plants,correct,0.9999999403953552,Can you explain your reasoning?
What can we know about Morelli from the passage?,She had stayed in the city for 5 years.,She had stayed in the city for 5 years.,correct,0.9999998807907104,Why do you think that is the case?
We can infer from the passage that_.,the final goal of the researchers is to design an electronic dog to detect cancer,This is incorrect because the,misconception,0.013836587779223919,Why do you think that is the case?
Both diffusion and effusion are related to the speed at which what objects move?,gas molecules,gas molecules,correct,0.9999998807907104,Can you explain your reasoning?
"According to the passage, alcohol has something to do with bad breath mainly because   _  .",it affects the normal flow of saliva,it affects the normal flow,incomplete,0.6909374594688416,Why do you think that is the case?
"Friction causes the molecules on rubbing surfaces to move faster, which produces what?",heat,heat,correct,0.9999998807907104,Can you explain your reasoning?
What are the main organs of the respiratory system?,lungs,lungs,correct,1.0,Can you explain your reasoning?
"When we consider a chemical reaction, we need to take into account both the system and what?",sorroundings,sorroundings,correct,0.9999998807907104,Can you explain your reasoning?
What do living things need to survive?,nutrients,nutrients,correct,1.0,Can you explain your reasoning?
Which of the following is true?,Smoking can also influence a person's weaker verbal and visual-spatial reasoning.,Smoking can also influence a person's weaker verbal and visual-spatial reasoning.,correct,1.0,Why do you think that is the case?
"When the author first saw Dad's lunch box notes, she felt   _  .",awkward,awkward,correct,0.9999998807907104,Why do you think that is the case?
Compounds like sodium chloride form structures called what?,crystals,crystals,correct,0.9999997615814209,Can you explain your reasoning?
This article about fantasy literature is intended to   _  .,explain why people like to read it,explain why people like to,incomplete,0.6506324410438538,Why do you think that is the case?
The cells of all eukarya have a what?,nucleus,nucleus,correct,1.0000001192092896,Can you explain your reasoning?
What is the main purpose of the passage?,To warn us not to get lost in the fantasy world.,To warn us not to get lost in the,incomplete,0.8259310722351074,Why do you think that is the case?
How did the young man find the precious stone?,He saw it in the woman's bag.,This is incorrect because He,misconception,0.1703186184167862,Why do you think that is the case?
What is the simplest life cycle?,haploid life cycle,haploid life cycle,correct,1.0000001192092896,Can you explain your reasoning?
What is the si unit for pressure?,pascal,pascal,correct,0.9999999403953552,Can you explain your reasoning?
"According to the writer, which of the following is not true?",Before the accident happened there was no sign of something wrong,Before the accident happened there was no sign of something wrong,correct,0.9999998211860657,Why do you think that is the case?
Which kind of weekend diet does the greatest harm?,Snacking between the meals.,Snacking between the meals.,correct,1.0000001192092896,Why do you think that is the case?
Some meteorites are made of iron and nickel and are thought to be very similar to what part of the earth?,core,core,correct,1.0000001192092896,Can you explain your reasoning?
Which of the following statements is right?,"Lincoln, even though great, was not proud.","Lincoln, even though great, was not proud.",correct,1.0000001192092896,Why do you think that is the case?
The activation of what kind of buds induces branching?,axillary buds,axillary buds,correct,1.0,Can you explain your reasoning?
Which of the following statements is true?,Player is advised to stay clear of the screen.,Player is advised to stay clear of,incomplete,0.7761311531066895,Why do you think that is the case?
"According to the passage, those who try to lose weight   _  .",get their efforts to lose weight ruined by over-eating on weekends,This is incorrect because get,misconception,0.01294977031648159,Why do you think that is the case?
What was the reaction of the colleges towards the students'demand?,A few educators disagreed with them.,A few educators disagreed,correct,0.9451898336410522,Why do you think that is the case?
What guards the opening between the right atrium and the right ventricle?,tricuspid valve,tricuspid valve,correct,1.0,Can you explain your reasoning?
The author's attitude to cooperation learning in 'Star Trek classroom' is   _  .,positive,positive,correct,1.0,Why do you think that is the case?
"According to the author,children's breaking an arm is  _  .",the natural experience in their growing up,This is incorrect because the,misconception,0.06862130016088486,Why do you think that is the case?
From Henry Ford's example we can see that  _  .,Hard work leads to success,This is incorrect because Hard,misconception,0.4274716377258301,Why do you think that is the case?
A turbine that spins a generator will produce?,electricity,electricity,correct,0.9999998807907104,Can you explain your reasoning?
"What substances, which are distinct from acids and bases, form when ions form ionic bonds?",salts,salts,correct,1.0,Can you explain your reasoning?
Matthew didn't accept the author's medal because    _   .,he would not be pitied by others,he would not be pitied by others,correct,1.0000001192092896,Why do you think that is the case?
"Because it can be controlled intentionally, skeletal muscle is also called what type of muscle?",voluntary,voluntary,correct,1.0,Can you explain your reasoning?
Which of the following can be reasonable except   _  .,Nothing can be done on earthquakes,Nothing can be done,incomplete,0.5562636256217957,Why do you think that is the case?
Hollywood became a film center because  _  .,film-making there was cheap and easy,film-making there was cheap and easy,correct,0.9999999403953552,Why do you think that is the case?
"According to the text,China's goal of its space program is     .",to build a space station.,This is incorrect because to,misconception,0.12168926000595093,Why do you think that is the case?
What might be the best title for the passage?,Changing the way of thinking,Changing the way,incomplete,0.6695466637611389,Why do you think that is the case?
"According to Bill Bank,   _  .",it's better for young blacks to find role models in those who are close to them,it's better for young blacks to find role models in those who are close,correct,0.9892892837524414,Why do you think that is the case?
63.The experiments mentioned in the text show that    _   .,almost all poor readers can make progress,almost all poor readers can,incomplete,0.8043187260627747,Why do you think that is the case?
The passing of traits from parents to offspring is done through what?,dna,dna,correct,0.9999998807907104,Can you explain your reasoning?
"According to the study, older people predicted their life satisfaction more accurately because  _  .",their outlook on the future was more realistic,their outlook on the future was more realistic,correct,1.0,Why do you think that is the case?
What might be the best title for the passage?,Changing the way of thinking,Changing the way of thinking,correct,0.9999998211860657,Why do you think that is the case?
Dalton's law and henry's law both describe aspects of what type of exchange?,gas,gas,correct,0.9999999403953552,Can you explain your reasoning?
What term describes a collection of similar cells that had a common embryonic origin?,tissue,tissue,correct,1.0,Can you explain your reasoning?
The passage is developed mainly by  _  .,showing the effect and then explaining the causes,This is incorrect because showing,misconception,0.2624150812625885,Why do you think that is the case?
An endocrine disease usually involves the secretion of too much or not enough of what?,hormone,hormone,correct,1.0,Can you explain your reasoning?
We can learn from the passage that shyness can   _  .,block our chances for a successful life,block our chances for a successful life,correct,1.0,Why do you think that is the case?
"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",lung,lung,correct,0.9999999403953552,Can you explain your reasoning?
Which position is open to recent school graduates?,Accountants Assistant.,Accountants Assistant.,correct,1.0,Why do you think that is the case?
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",decomposers,decomposers,correct,1.0,Can you explain your reasoning?
What does the author believe as important in life?,To be free from worries,To be free from worries,correct,0.9999998211860657,Why do you think that is the case?
We can infer from this passage that   _  .,offensive breath can't easily be cured,offensive breath can't easily be cured,correct,0.9999999403953552,Why do you think that is the case?
A growth spurt requires constant divisions of what?,cells,cells,correct,0.9999998807907104,Can you explain your reasoning?
Why did Clemmons NOT agree with the theory of the muscle of slaves pushing and pulling stones to create the pyramids?,Because of the Egyptians' habit of drinking beer at three meals and the beer effect on people.,Because of the Egyptians' habit of drinking beer at three meals and the beer effect,correct,0.9709654450416565,Why do you think that is the case?
It is common that many students  _  .,don't believe in their first impulse.,don't believe in their,incomplete,0.569013774394989,Why do you think that is the case?
What do the letters in our blood types represent?,alleles,alleles,correct,1.0,Can you explain your reasoning?
Which of the following is NOT necessary for the three trips?,A sleeping bag.,A sleeping bag.,correct,1.0,Why do you think that is the case?
Which of the following is Not mentioned?,A great many rabbits eat too much trees.,This is incorrect because A,misconception,0.11799948662519455,Why do you think that is the case?
"What do you call the traits that allow a plant, animal, or other organism to survive and reproduce in its environment?",adaptations,adaptations,correct,1.0,Can you explain your reasoning?
What would be the best title for this text?,Tea May Help Fight Infection,This is incorrect because Tea,incomplete,0.5502647161483765,Why do you think that is the case?
From Henry Ford's example we can see that  _  .,Hard work leads to success,Hard work leads to success,correct,1.0,Why do you think that is the case?
What is the rigid layer that is found outside the cell membrane and surrounds the cell?,cell wall,cell wall,correct,1.0,Can you explain your reasoning?
Molecules in the gas phase can collide with the liquid surface and reenter the liquid via what?,condensation,condensation,correct,1.0,Can you explain your reasoning?
"According to the recent study, when birds migrate  _  .","they form the shape of a ""V"" to make best use of the lifting effect",This is incorrect because they,misconception,0.14526872336864471,Why do you think that is the case?
What must happen for two ions to form an ionic bond?,two ions need to have opposite charges,two ions need to have,incomplete,0.8332014679908752,Can you explain your reasoning?
This passage mainly tells us   _  .,who invented the first car,This is incorrect because who,misconception,0.15548422932624817,Why do you think that is the case?
Why did Roosevelt successfully win the election?,Because he got his brain trust.,Because he got his,incomplete,0.6696934700012207,Why do you think that is the case?
"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?",energy,energy,correct,1.0000001192092896,Can you explain your reasoning?
From the passage we learn that    _   .,Matthew was an optimistic and determined boy,Matthew was an optimistic and,correct,0.8842922449111938,Why do you think that is the case?
What is the name of the second most electronegative element?,oxygen,oxygen,correct,1.0,Can you explain your reasoning?
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a zygote,a zygote,correct,0.9999998807907104,Can you explain your reasoning?
What would be the best title for this passage?,A real champion.,A real champion.,correct,0.9999998807907104,Why do you think that is the case?
"Before the races begin,   _   take part in the activities during the opening ceremonies.","musicians, officials, camels and horses","This is incorrect because musicians,",misconception,0.46429839730262756,Why do you think that is the case?
It can be learnt from the text that the aging of the population in America   _   .,has changed people's understanding of age,This is incorrect because has,misconception,0.28050363063812256,Why do you think that is the case?
A new species is said to have evolved if separated members of a species evolve genetic differences that prevent what from occurring with the original members??,interbreeding,interbreeding,correct,0.9999999403953552,Can you explain your reasoning?
All of the following statements are correct EXCEPT   _  .,the stories are suitable for learners of different levels,the stories are suitable for learners of different levels,correct,1.0,Why do you think that is the case?
What does Sandra Wilkins think of people using others' Internet service?,He thinks it is unacceptable.,This is incorrect because He,misconception,0.3641665577888489,Why do you think that is the case?
"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.",lignin,lignin,correct,1.0000001192092896,Can you explain your reasoning?
What inspired the author with the idea of building an online bookstore?,The greatly increasing usage of the Internet.,The greatly increasing usage of,incomplete,0.7327023148536682,Why do you think that is the case?
"What evolved, adapted response to resource availability is the long-range seasonal movement of animals?",migration,migration,correct,0.9999998807907104,Can you explain your reasoning?
"What are ""atoms"" understood by the computer system?",Events becoming of the characters.,Events becoming of the characters.,correct,0.9999999403953552,Why do you think that is the case?
"During photosynthesis, what is energy from the sun converted to after entering a plant?",glucose,glucose,correct,0.9999997615814209,Can you explain your reasoning?
A good title for this passage is  _  .,The International Red Cross,The International Red Cross,correct,1.0,Why do you think that is the case?
The tests in Cambridge and Singapore were impressive because SignalGuru   _  .,functioned rather stably,functioned rather stably,correct,1.0000001192092896,Why do you think that is the case?
"According to the passage, the author believes that_.",media are to blame for misleading young people in their seeking for surgery,media are to blame for misleading young people in their seeking,incomplete,0.7779549360275269,Why do you think that is the case?
What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,hypothesis,hypothesis,correct,1.0000001192092896,Can you explain your reasoning?
What do we learn about the author?,He now works as a doctor.,This is incorrect because He,misconception,0.2788509130477905,Why do you think that is the case?
Why did the author decide to buy the Hollowell place?,It was in a good position.,This is incorrect because It,misconception,0.10999807715415955,Why do you think that is the case?
"According to the study of the Canadian researchers,   _  .",encouraging positive thinking may actually discourage people,This is incorrect because encouraging,incomplete,0.5489688515663147,Why do you think that is the case?
We can infer from the passage that_.,the final goal of the researchers is to design an electronic dog to detect cancer,the final goal of the researchers is to design an electronic dog to detect cancer,correct,1.0000001192092896,Why do you think that is the case?
Which of the following is TRUE according to the passage?,Mobile devices create a lot of divided attention and social anxiety.,Mobile devices create a lot of divided attention and,incomplete,0.817012369632721,Why do you think that is the case?
What is the best title for the passage?,An angel in the mountains!,An angel in the mountains!,correct,1.0000001192092896,Why do you think that is the case?
How did Clemmons prove that her idea was reasonable?,She had an experiment done to lift a large stone by using pulleys and a kite.,She had an experiment done to lift a large stone by using pulleys and a kite.,correct,1.0000001192092896,Why do you think that is the case?
The pleura that surrounds the lungs consists of how many layers?,two,two,correct,1.0000001192092896,Can you explain your reasoning?
The passage is mainly about   _  .,how zoos have improved,how zoos have improved,correct,0.9999999403953552,Why do you think that is the case?
The writer mainly wants to tell us how to   _   in this passage.,set up a free email-box,set up a free email-box,correct,1.0000001192092896,Why do you think that is the case?
Why do children spend more time in using electronic devices?,Because more electronic devices are available to them.,This is incorrect because Because,misconception,0.22590413689613342,Why do you think that is the case?
Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warmer water,correct,1.0,Can you explain your reasoning?
What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,ulcers,ulcers,correct,1.0,Can you explain your reasoning?
Spermatogonia are the stem cells of what male sex organs?,testes,testes,correct,0.9999999403953552,Can you explain your reasoning?
"In order to please an old Western woman , you can say to her,""  _  """,You look so young and beautiful.,You look so young,incomplete,0.8460620641708374,Why do you think that is the case?
It can be inferred  from the report that the damage caused by the earthquakes could be much less heavy if   _  .,the people had been warned earlier,This is incorrect because the,misconception,0.15895335376262665,Why do you think that is the case?
How does the computer system describe the characters in its story?,Characters in the story are given different numerical values.,This is incorrect because Characters,misconception,0.46284911036491394,Why do you think that is the case?
"According to the story, Henry had   _  .",had the most exciting experiences,had the most exciting experiences,correct,1.0000001192092896,Why do you think that is the case?
Alexander and his troops traveled and fought probably   _   then.,on their horses,on their horses,correct,1.0000001192092896,Why do you think that is the case?
The man returned the stone to the woman because   _  .,he wanted to get something even more precious,This is incorrect because he,misconception,0.15098288655281067,Why do you think that is the case?
The writer tells this story to show   _  .,even the small can help the great,even the small can help,incomplete,0.8170191645622253,Why do you think that is the case?
The kinetic-molecular theory as it applies to gases has how many basic assumptions?,five,five,correct,1.0,Can you explain your reasoning?
"According to the French writer, we often need help from others, so we should   _   .",help others as much as we can,This is incorrect because help,misconception,0.22767341136932373,Why do you think that is the case?
What did Zhai do outside the capsule in space?,He fetched a sample of solid lubricant and passed it to his colleague.,He fetched a sample of solid lubricant and passed it to his colleague.,correct,0.9999998807907104,Why do you think that is the case?
It can be inferred that   _  .,the author's husband is an environmentalist.,This is incorrect because the,misconception,0.11572779715061188,Why do you think that is the case?
What can we learn about the author?,She believes people should participate in the world around them.,This is incorrect because She,misconception,0.40643593668937683,Why do you think that is the case?
Which cycle tracks the flow of nitrogen through an ecosystem?,nitrogen cycle,nitrogen cycle,correct,1.0,Can you explain your reasoning?
Which of the following words can best describe the volunteer?,Kindhearted and patient.,Kindhearted and patient.,correct,1.0,Why do you think that is the case?
"According to the author, it's difficult for many Americans to get visible firm abdominal muscles mainly because   _  .",how big their muscles will be is determined by birth,how big their muscles will be is determined by birth,correct,1.0,Why do you think that is the case?
What happens to the density of air as the altitude decreases?,decreases,decreases,correct,1.000000238418579,Can you explain your reasoning?
"According to Paragraph 4 ,which is right ?         _   .",cloning means running the risk of wasting too much effort,cloning means running the risk of wasting too,correct,0.9653968811035156,Why do you think that is the case?
The name of a spinal cord region corresponds to the level at which spinal nerves pass through the what?,intervertebral foramina,intervertebral foramina,correct,1.0,Can you explain your reasoning?
"What did the author mean by saying ""just like a cat has nine lives"" when he talked about Arafat?",Arafat can stay alive after accidents or disasters as if he has nine lives.,This is incorrect because Arafat,incomplete,0.6292218565940857,Why do you think that is the case?
The classroom with multi-touch desks can help students   _  .,solve problems inventively,solve problems inventively,correct,1.0,Why do you think that is the case?
What is the term for the tube that carries sound waves into the ear?,ear canal,ear canal,correct,1.0000001192092896,Can you explain your reasoning?
Which statement is true about the Hulhumale?,The Hulhumale is an artificial island to be built near the capital.,The Hulhumale is an artificial island to be built near the capital.,correct,1.0,Why do you think that is the case?
"According to the passage, which statement is true?","Being Palestinian leader, Arafat would rather die in his own country than be driven away from his people.","Being Palestinian leader, Arafat would rather die in his own country than be driven away from his people.",correct,0.9999998807907104,Why do you think that is the case?
The passage mainly discusses how astronauts  _  .,spend their free time in space,This is incorrect because spend,misconception,0.17480172216892242,Why do you think that is the case?
"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",heat and work,heat and work,correct,0.9999999403953552,Can you explain your reasoning?
"If 12 children take part in Youth Fitness Birthday Parties, they will pay  _  .",$315,$315,correct,1.0,Why do you think that is the case?
What's the best title of this passage?,Alexander the Great,Alexander the Great,correct,1.0000001192092896,Why do you think that is the case?
What do we know about the Bodleian Library?,It is smaller than the British Library.,It is smaller than the,incomplete,0.5027405023574829,Why do you think that is the case?
"According to the passage, Teary Joe   _  .",relied on others' sympathy   before,This is incorrect because relied,misconception,0.43417879939079285,Why do you think that is the case?
Which of the following makes the author feel the suffering that war brings to human beings?,The kneeling man.,The kneeling man.,correct,0.9999999403953552,Why do you think that is the case?
What kind of planet might NOT support life?,Most of the planets of the stars.,This is incorrect because Most,misconception,0.283144474029541,Why do you think that is the case?
How did the young man find the precious stone?,He saw it in the woman's bag.,He saw it in the woman's bag.,correct,1.0000001192092896,Why do you think that is the case?
What is another term for nearsightedness?,myopia,myopia,correct,1.000000238418579,Can you explain your reasoning?
What is the best title for the passage?,Discovery Trips in the Blue Mountains,This is incorrect because Discovery,misconception,0.4368315637111664,Why do you think that is the case?
What can we learn about the new study?,Its result is consistent with(...) the previously established ideas.,This is incorrect because Its,misconception,0.23045435547828674,Why do you think that is the case?
Which of the following would be the best title?,Dogs Smell Signs of Cancer,Dogs Smell Signs,incomplete,0.8148715496063232,Why do you think that is the case?
Which of the following festivals are celebrated in the same month?,Nowroz and the Bahai New Year.,This is incorrect because Nowroz,incomplete,0.567439079284668,Why do you think that is the case?
What is the advantage of an underwater data center?,It can make information easily accessible to people.,It can make information easily accessible,correct,0.9523210525512695,Why do you think that is the case?
What's the best title for the text?,Lunches packed with love.,Lunches packed with love.,correct,1.0,Why do you think that is the case?
"The students also demanded_,besides a change of program.",the right to choose their courses,the right to choose,incomplete,0.687661349773407,Why do you think that is the case?
What's the main purpose of this passage?,To call on people to attend Zero Waste.,This is incorrect because To,misconception,0.1867557168006897,Why do you think that is the case?
The passage mainly talks about   _  .,a German girl training a cow successfully,a German girl training a cow successfully,correct,1.0000001192092896,Why do you think that is the case?
Doctors have long known that  _  .,one may lose his hearing when he hears a terribly loud noise.,This is incorrect because one,misconception,0.15560463070869446,Why do you think that is the case?
What do we know about the Bodleian Library?,It is smaller than the British Library.,This is incorrect because It,misconception,0.11239131540060043,Why do you think that is the case?
It's a custom to lift and lower the birthday person in a chair in   _  .,Israel,Israel,correct,1.0,Why do you think that is the case?
"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",18,18,correct,1.0,Can you explain your reasoning?
In the passage the author intends to   _,give advice on how to prepare for vacation,This is incorrect because give,misconception,-0.059438373893499374,Why do you think that is the case?
What's the purpose of understanding how to deal with friendship problems?,To build stronger and healthier friendships.,To build stronger and healthier friendships.,correct,0.9999998807907104,Why do you think that is the case?
What property of warm air causes it to rise above cold air?,lower density,lower density,correct,0.9999999403953552,Can you explain your reasoning?
What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,mesosphere,mesosphere,correct,0.9999998807907104,Can you explain your reasoning?
"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?",temperature,temperature,correct,1.0,Can you explain your reasoning?
"In which state of matter do particles take the shape of their container, but cannot expand to fill it?",liquid,liquid,correct,1.0,Can you explain your reasoning?
What is basically needed for MEXICA to start to write a story?,The human operator should come up with a simple storyline.,This is incorrect because The,misconception,0.13874909281730652,Why do you think that is the case?
The author considers that live classical music   _  .,is exciting to both players and listeners,is exciting to both players and listeners,correct,1.000000238418579,Why do you think that is the case?
What's the main idea of the passage?,The Maldives is considering ways to fight against the global warming.,The Maldives is considering ways to fight against the,incomplete,0.6934869289398193,Why do you think that is the case?
What's another term for egg-laying mammals?,monotremes,monotremes,correct,1.0,Can you explain your reasoning?
From Henry Ford's example we can see that  _  .,Hard work leads to success,Hard work leads,incomplete,0.6875508427619934,Why do you think that is the case?
Which of the following is true according to the passage?,Camara was once in prison for six years.,This is incorrect because Camara,incomplete,0.5373294353485107,Why do you think that is the case?
"As for the preparation advice and tips online,   _  .",they may make you puzzled in a way,they may make you puzzled in,correct,0.9658979177474976,Why do you think that is the case?
